[    4423ms] [LOG] myLocationRenderMode not available in web @ http://localhost:8788/dart_sdk.js:32230
[ 4574508ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4574540ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4574589ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4574636ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4574678ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4574723ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4574768ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4574811ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4574852ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
[ 4574895ms] [LOG] MapCanvas camera settled: zoom=6.526118453346977, target=LatLng(23.650000000000503, 122.10000000000002), viewport=Size(1200.0, 873.0), overview=6.526118453346977, boundsZoom=6.526118453346977 @ http://localhost:8788/dart_sdk.js:32230
