run,sample_index,current_ua,voltage_uv,battery_status,power_mw
3,12,-104062,4103593,Not charging,427.03
3,13,-105937,4106093,Not charging,434.99
3,14,-103125,4103906,Not charging,423.22
3,15,-118437,4102968,Not charging,485.94
3,16,-110937,4103437,Not charging,455.22
3,17,-85625,4104375,Not charging,351.44
3,18,-94687,4104062,Not charging,388.6
3,19,-98750,4104062,Not charging,405.28
3,20,-105937,4103125,Not charging,434.67
3,21,-98750,4104062,Not charging,405.28
3,22,-140000,4101562,Not charging,574.22
3,23,-126562,4102343,Not charging,519.2
3,24,-105937,4103906,Not charging,434.76
3,25,-104062,4098281,Not charging,426.48
3,26,-120625,4105781,Not charging,495.26
3,27,-120312,4103437,Not charging,493.69
3,28,-315000,4091875,Not charging,1288.94
3,29,-95625,4103125,Not charging,392.36
3,30,-87500,4104218,Not charging,359.12
3,31,-108125,4104687,Not charging,443.82
3,32,-108125,4103593,Not charging,443.7
3,33,-88437,4104062,Not charging,362.95
3,34,-119375,4103437,Not charging,489.85
3,35,-93750,4103437,Not charging,384.7
3,36,-113125,4103437,Not charging,464.2
3,37,-131875,4102187,Not charging,540.98
3,38,-115312,4103125,Not charging,473.14
3,39,-113125,4104218,Not charging,464.29
3,40,-110000,4105156,Not charging,451.57
3,41,-101875,4105468,Not charging,418.24
3,42,-118125,4101562,Not charging,484.5
3,43,-91875,4103593,Not charging,377.02
3,44,-108125,4103593,Not charging,443.7
3,45,-118125,4103593,Not charging,484.74
3,46,-92812,4104062,Not charging,380.91
3,47,-94687,4103281,Not charging,388.53
3,48,-96875,4105000,Not charging,397.67
3,49,-198125,4100468,Not charging,812.41
3,50,-101875,4105000,Not charging,418.2
3,51,-119375,4102812,Not charging,489.77
3,52,-91562,4105000,Not charging,375.86
3,53,-95625,4103593,Not charging,392.41
3,54,-107812,4103125,Not charging,442.37
3,55,-150000,4100781,Not charging,615.12
3,56,-166562,4099218,Not charging,682.77
3,57,-115000,4102968,Not charging,471.84
3,58,-96875,4104687,Not charging,397.64
3,59,-88437,4100468,Not charging,362.63
3,60,-105937,4104218,Not charging,434.79
4,1,-98750,4101093,Not charging,404.98
4,2,-103125,4100937,Not charging,422.91
4,3,-97812,4100781,Not charging,401.11
4,4,-93750,4101406,Not charging,384.51
4,5,-92812,4100312,Not charging,380.56
4,6,-116250,4098437,Not charging,476.44
4,7,-102812,4101250,Not charging,421.66
4,8,-93750,4102500,Not charging,384.61
4,9,-163125,4097343,Not charging,668.38
4,10,-138750,4099062,Not charging,568.74
4,11,-125312,4100781,Not charging,513.88
4,12,-112187,4101093,Not charging,460.09
4,13,-107187,4099375,Not charging,439.4
4,14,-93750,4102343,Not charging,384.59
4,15,-119375,4102812,Not charging,489.77
4,16,-145937,4099843,Not charging,598.32
4,17,-97812,4101250,Not charging,401.15
4,18,-80312,4100781,Not charging,329.34
4,19,-104062,4098906,Not charging,426.54
4,20,-103125,4102500,Not charging,423.07
4,21,-129687,4097968,Not charging,531.45
4,22,-136562,4098125,Not charging,559.65
4,23,-82500,4101875,Not charging,338.4
4,24,-90625,4102812,Not charging,371.82
4,25,-131875,4097968,Not charging,540.42
4,26,-135625,4097656,Not charging,555.74
4,27,-141875,4084218,Not charging,579.45
4,28,-122500,4095156,Not charging,501.66
4,29,-128437,4099375,Not charging,526.51
4,30,-159062,4097812,Not charging,651.81
4,31,-132500,4098125,Not charging,543.0
4,32,-194062,4094062,Not charging,794.5
4,33,-117187,4100000,Not charging,480.47
4,34,-138750,4099062,Not charging,568.74
4,35,-134687,4097343,Not charging,551.86
4,36,-134687,4099062,Not charging,552.09
4,37,-115312,4101093,Not charging,472.91
4,38,-321875,4094531,Not charging,1317.93
4,39,-109062,4101250,Not charging,447.29
4,40,-104062,4101562,Not charging,426.82
4,41,-134687,4099062,Not charging,552.09
4,42,-101875,4102968,Not charging,417.99
4,43,-116250,4101406,Not charging,476.79
4,44,-161250,4097812,Not charging,660.77
4,45,-107187,4101562,Not charging,439.63
4,46,-90625,4103125,Not charging,371.85
4,47,-87500,4102500,Not charging,358.97
4,48,-111250,4096093,Not charging,455.69
4,49,-90625,4100000,Not charging,371.56
4,50,-96562,4102812,Not charging,396.18
4,51,-142812,4099843,Not charging,585.51
4,52,-93750,4104062,Not charging,384.76
4,53,-84375,4103437,Not charging,346.23
4,54,-81562,4101406,Not charging,334.52
4,55,-100937,4101406,Not charging,413.98
4,56,-100937,4102812,Not charging,414.13
4,57,-104062,4101562,Not charging,426.82
4,58,-109062,4097968,Not charging,446.93
4,59,-83437,4102500,Not charging,342.3
4,60,-391875,4082031,Not charging,1599.65
5,1,-245937,4085156,Not charging,1004.69
5,2,-105000,4100156,Not charging,430.52
5,3,-105937,4099375,Not charging,434.28
5,4,-105000,4097968,Not charging,430.29
5,5,-96875,4098750,Not charging,397.07
5,6,-89687,4099218,Not charging,367.65
5,7,-124375,4098125,Not charging,509.7
5,8,-94687,4099375,Not charging,388.16
5,9,-98750,4097968,Not charging,404.67
5,10,-92812,4098281,Not charging,380.37
5,11,-124375,4097343,Not charging,509.61
5,12,-91562,4100781,Not charging,375.48
5,13,-110312,4097812,Not charging,452.04
5,14,-102812,4099218,Not charging,421.45
5,15,-107812,4098281,Not charging,441.84
5,16,-117187,4097812,Not charging,480.21
5,17,-102812,4099375,Not charging,421.46
5,18,-103750,4099218,Not charging,425.29
5,19,-102812,4099375,Not charging,421.46
5,20,-86562,4100781,Not charging,354.97
5,21,-95625,4100937,Not charging,392.15
