run,sample_index,current_ua,voltage_uv,battery_status,power_mw
3,12,-331875,4090000,Not charging,1357.37
3,13,-183750,4093906,Not charging,752.26
3,14,-203125,4096718,Not charging,832.15
3,15,-217500,4093750,Not charging,890.39
3,16,-156250,4097031,Not charging,640.16
3,17,-168125,4098906,Not charging,689.13
3,18,-159375,4099062,Not charging,653.29
3,19,-153125,4099218,Not charging,627.69
3,20,-161250,4098437,Not charging,660.87
3,21,-217500,4094687,Not charging,890.59
3,22,-156250,4087187,Not charging,638.62
3,23,-177500,4097187,Not charging,727.25
3,24,-163125,4099375,Not charging,668.71
3,25,-179687,4096718,Not charging,736.13
3,26,-177500,4098281,Not charging,727.44
3,27,-185937,4097187,Not charging,761.82
3,28,-217500,4093437,Not charging,890.32
3,29,-153125,4098750,Not charging,627.62
3,30,-158125,4100468,Not charging,648.39
3,31,-186875,4096562,Not charging,765.55
3,32,-184687,4097656,Not charging,756.78
3,33,-162187,4098125,Not charging,664.66
3,34,-182812,4099218,Not charging,749.39
3,35,-182500,4095156,Not charging,747.37
3,36,-181562,4095937,Not charging,743.67
3,37,-204375,4096250,Not charging,837.17
3,38,-182812,4095000,Not charging,748.62
3,39,-187812,4095781,Not charging,769.24
3,40,-182812,4096093,Not charging,748.81
3,41,-183750,4096718,Not charging,752.77
3,42,-165312,4098125,Not charging,677.47
3,43,-213437,4096093,Not charging,874.26
3,44,-192812,4094687,Not charging,789.5
3,45,-176562,4096718,Not charging,723.32
3,46,-201250,4095937,Not charging,824.31
3,47,-197187,4095625,Not charging,807.6
3,48,-179687,4086875,Not charging,734.36
3,49,-215625,4090781,Not charging,882.07
3,50,-197500,4094843,Not charging,808.73
3,51,-195000,4095156,Not charging,798.56
3,52,-186875,4094687,Not charging,765.19
3,53,-172500,4095781,Not charging,706.52
3,54,-180937,4098437,Not charging,741.56
3,55,-245937,4089843,Not charging,1005.84
3,56,-179687,4096250,Not charging,736.04
3,57,-184062,4095625,Not charging,753.85
3,58,-262500,4092812,Not charging,1074.36
3,59,-177812,4097968,Not charging,728.67
3,60,-210312,4094218,Not charging,861.06
4,1,-134687,4099218,Not charging,552.11
4,2,-79375,4103281,Not charging,325.7
4,3,-87500,4102968,Not charging,359.01
4,4,-88437,4103437,Not charging,362.9
4,5,-78437,4102968,Not charging,321.82
4,6,-69062,4102968,Not charging,283.36
4,7,-94687,4105625,Not charging,388.75
4,8,-106875,4102500,Not charging,438.45
4,9,-83437,4105781,Not charging,342.57
4,10,-74375,4105156,Not charging,305.32
4,11,-98750,4102812,Not charging,405.15
4,12,-78125,4105625,Not charging,320.75
4,13,-88437,4105000,Not charging,363.03
4,14,-100937,4103906,Not charging,414.24
4,15,-119375,4101562,Not charging,489.62
4,16,-70312,4103281,Not charging,288.51
4,17,-75312,4100312,Not charging,308.8
4,18,-69062,4104375,Not charging,283.46
4,19,-91562,4105000,Not charging,375.86
4,20,-87500,4106718,Not charging,359.34
4,21,-77500,4105156,Not charging,318.15
4,22,-80312,4104375,Not charging,329.63
4,23,-142812,4100312,Not charging,585.57
4,24,-87500,4104687,Not charging,359.16
4,25,-65000,4105468,Not charging,266.86
4,26,-105937,4089218,Not charging,433.2
4,27,-124375,4103281,Not charging,510.35
4,28,-95625,4103437,Not charging,392.39
4,29,-92812,4103906,Not charging,380.89
4,30,-94687,4103281,Not charging,388.53
4,31,-90625,4104375,Not charging,371.96
4,32,-124375,4104375,Not charging,510.48
4,33,-185937,4095468,Not charging,761.5
4,34,-95625,4105468,Not charging,392.59
4,35,-86562,4105468,Not charging,355.38
4,36,-135625,4101562,Not charging,556.27
4,37,-72187,4105156,Not charging,296.34
4,38,-81562,4104687,Not charging,334.79
4,39,-80312,4104687,Not charging,329.66
4,40,-105937,4103437,Not charging,434.71
4,41,-86562,4105468,Not charging,355.38
4,42,-97812,4105312,Not charging,401.55
4,43,-89687,4104531,Not charging,368.12
4,44,-75312,4105000,Not charging,309.16
4,45,-77500,4106250,Not charging,318.23
4,46,-178750,4097187,Not charging,732.37
4,47,-73125,4104375,Not charging,300.13
4,48,-86562,4105000,Not charging,355.34
4,49,-90625,4102343,Not charging,371.77
4,50,-73437,4105312,Not charging,301.48
4,51,-105937,4102968,Not charging,434.66
